Papers,Link,HandName,Num. of Fingers,DoF,Num. Actuators,Palm (used or not),Reposition / Opposition,Abduction / Adduction,Flexion/Extension,Tactile Feedback,Kinesthetic Feedback,Visual Feedback,No Contact -> No Motion: Rest position,No Contact -> Motion -> Not Within Hand: Waving,No Contact -> Motion -> Within Hand: Signing,Contact -> Non-Prehensile -> No Motion -> No Motion at Contact: Open handed hold,Contact -> Non-Prehensile -> No Motion -> Motion at Contact: Open handed hold with external force,Contact -> Non-Prehensile -> Motion -> Not Within Hand -> No Motion at Contact: Pushing coin,Contact -> Non-Prehensile -> Motion -> Not Within Hand -> Motion at Contact: Tactile surface exploration,Contact -> Non-Prehensile -> Motion -> Within Hand -> No Motion at Contact: Flipping light switch,Contact -> Non-Prehensile -> Motion -> Within Hand -> Motion at Contact: Rolling ball on table,Contact -> Prehensile -> No Motion -> No Motion at Contact: Holding object still,Contact -> Prehensile -> No Motion -> Motion at Contact: Holding object with external force,Contact -> Prehensile -> Motion -> Not Within Hand -> No Motion at Contact: Turning doorknob,Contact -> Prehensile -> Motion -> Not Within Hand -> Motion at Contact: Sliding hand along handrail,Contact -> Prehensile -> Motion -> Within Hand -> No Motion at Contact: Writing,Contact -> Prehensile -> Motion -> Within Hand -> Motion at Contact: Reorienting pen,Contact -> Prehensile -> Motion -> Within Hand -> No Motion at Contact: DoF,Contact -> Prehensile -> Motion -> Within Hand -> Motion at Contact: DoF
Shallow-Depth Insertion: Peg in Shallow Hole Through Robotic In-Hand Manipulation,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8598749,Custom Hand,2,1,1,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,-,-
Transcend Anthropomorphic Robotic Grasping With Modular Antagonistic Mechanisms and Adhesive Soft Modulations,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8675260,Custom Hand,3,12,7,Yes,Neither of the two,Neither of the two,Switching,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-
Adaptive wrapping with active elastic band-based gripper for stable in-hand manipulation,https://www.sciencedirect.com/science/article/pii/S0924424724007374,Custom Hand,2,4,4,No,Neither of the two,Neither of the two,Switching,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,-,3
DexGraspNet 2.0: Learning Generative Dexterous Grasping in Large-scale Synthetic Cluttered Scenes,https://openreview.net/forum?id=5W0iZR9J7h,LEAP hand,5,16,16,Yes,Switching,Switching,Switching,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,-,-
Robotic Grasping of Unknown Objects Based on Deep Learning-Based Feature Detection,https://pmc.ncbi.nlm.nih.gov/articles/PMC11314913/,Custom Hand,2,1,1,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-
A multi-stage approach for desired part grasping under complex backgrounds in human-robot collaborative assembly,https://www.sciencedirect.com/science/article/pii/S1474034624004269,PGI-140-80,2,2,1,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-
Robust planning for multi-stage forceful manipulation,https://journals.sagepub.com/doi/abs/10.1177/02783649231198560,Franka Emika Panda Gripper,2,1,1,No,Neither of the two,Neither of the two,Switching,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,-,-
Interactive Promptâ€Guided Robotic Grasping for Arbitrary Objects Based on Promptable Segment Anything Model and Forceâ€Closure Analysis,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/aisy.202400404,Kinova Jaco,3,3,3,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-
Generative factor chaining: Coordinated manipulation with diffusion-based factor graph,https://openreview.net/forum?id=9r1hE0wux3,Franka Emika Panda Gripper,2,1,1,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,-,-
Synergistic Pushing and Grasping for Enhanced Robotic Manipulation Using Deep Reinforcement Learning,https://search.proquest.com/openview/64a827ad425264ea934942791fb828d1/1?pq-origsite=gscholar&cbl=2032444,RG2 parallel jaw gripper,2,2,1,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,-,-
A combined learning and optimization framework to transfer human whole-body loco-manipulation skills to mobile manipulators,https://www.sciencedirect.com/science/article/pii/S0921889025000442,Franka Emika Panda Gripper,2,1,1,No,Neither of the two,Neither of the two,Switching,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-
"Real-time target point identification and automated log grasping by a forwarder, using a single stereo camera for both object detection and boom-tip control",https://www.silvafennica.fi/article/23062,Custom Hand,2,1,1,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-
Towards Efï¬cient Robotic Manipulation of Deformable Objects by Learning Dynamics Models and Adaptive Policies,https://aaltodoc.aalto.fi/items/26ce42b3-b1ca-48d6-a03f-593c2003e107,Franka Emika Panda Gripper,2,1,1,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,-,-
A Dexterous and Compliant (DexCo) Hand Based on Soft Hydraulic Actuation for Human-Inspired Fine In-Hand Manipulation,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10771693,Custom Hand,2,7,,Yes,Switching,Switching,Switching,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,1,2
A Surprisingly Efficient Representation for Multi-Finger Grasping,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10611424,Inspire five finger hand,5,12,6,Yes,Switching,Neither of the two,Switching,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,-,-
Bi-KVIL: Keypoints-based Visual Imitation Learning of Bimanual Manipulation Tasks,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10610763,ARMAR-6 hand,5,14,2,No,Switching,Neither of the two,Switching,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,-,-
Bionic Soft Fingers with Hybrid Variable Stiffness Mechanisms for Multimode Grasping,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10611680,Custom Hand,2,3,3,No,Neither of the two,Switching,Neither of the two,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,-,-
Contact-Implicit Model Predictive Control for Dexterous In-hand Manipulation: A Long-Horizon and Robust Approach,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10801751,Allegro Hand,4,16,16,No,Switching,Switching,Switching,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,-,1
DeltaHands: A Synergistic Dexterous Hand Framework Based on Delta Robots,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10380685,Custom Hand,4,3,12,Yes,Neither of the two,Switching,Switching,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,-,-
Direct Self-Identification of Inverse Jacobians for Dexterous Manipulation Through Particle Filtering,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10611052,Yale OpenHand Model O,3,8,4,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,2,-
Learning Human-Like Functional Grasping for Multifinger Hands From Few Demonstrations,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10577462,Schunk SVH,5,20,9,Yes,Switching,Switching,Switching,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,1,-
Semi-Autonomous Grasping Control of Prosthetic Hand and Wrist Based on Motion Prior Field,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10522893,Mia Hand,5,6,4,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,-,-
