article_number,doi,title,authors,publication_year,publication_date,publication_title,content_type,publisher,abstract,author_terms,ieee_terms,dynamic_index_terms,conference_location,conference_dates,volume,issue,start_page,end_page,isbn,issn,access_type,citing_paper_count,citing_patent_count,download_count,html_url,pdf_url,abstract_url
11256125,10.1109/ICCBE65177.2025.11256125,Using Image Recognition and Local Large Language Model-Driven Dialogue for Confirming Dynamic Intentions,Sinan Chen; Masahide Nakamura; Kiyoshi Yasuda,2025,27-29 June 2025,"2025 IEEE International Conference on Computation, Big-Data and Engineering (ICCBE)",Conferences,IEEE,"Understanding human intention is critical in healthcare, where direct communication might be limited. We developed a dynamic intention recognition system for elderly care, integrating visual data and conversational interactions. Building upon in-home fixed-point cameras and lightweight image recognition systems, facial, skeletal, and hand features were detected to monitor behavior changes. Image-based analysis alone is often insufficient to fully grasp the intentions behind observed actions. Therefore, we developed a multimodal system that combines (1) image-derived contextual cues and (2) dialogue with an interactive agent, analyzed through locally executable large language models (LLMs). Specifically, we utilized locally deployable models such as Meta-Llama and Llama 3.1 within a web-based interface built on AnythingLLM, enabling real-time conversational intention estimation without compromising data privacy. The developed system performs image-based context extraction, conversational prompting with embedded intentions, and time-windowed log analysis using local LLMs for chronological intention estimation and confirmation. Five participants were recruited to compare their self-reported intentions with those inferred by the system using document similarity metrics. The results demonstrated the feasibility of the system and its real-time, privacy-conscious performance in elderly home care. The system contributes to the advancement of human-agent collaboration and lays a foundation for adaptive, intention-aware support systems.",image recognition; large language model; dialogue; intention; assistive technology,Visualization; Image recognition; Accuracy; Large language models; Estimation; Cameras; Real-time systems; Older adults; Biomedical monitoring; Wearable sensors,Image Recognition; Interactive; Similarity Measure; Similarity Metrics; Home Care; Aged Care; Eldercare; Elderly Care; Direct Communication; Language Model; Action Recognition; Contextual Cues; Real-time Estimation; Real-time Computation; Real-time Calculation; Human Intention; Human Purposes; Multimodal System; Model Execution; Feasibility Of The System; Conversational Interactions; Time Window; Elderly Individuals; Aged Individuals; Individual Age; Natural Language; Facial Expressions; Dialogic Nature; Real-world Setting; In-home Care; Application Programming Interface; Programming Interface; Semantic Gap; Visual Context; Sliding Time Window; Sliding Window; Conversational Agents; Dialogue System; Dialogue Management,"Penang, Malaysia",27-29 June 2025,,,966,971,979-8-3315-3245-1,,LOCKED,0,0,38,https://ieeexplore.ieee.org/document/11256125/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11256125,https://ieeexplore.ieee.org/document/11256125/
11267599,10.1109/CBS65871.2025.11267599,From Words to Actions: Instance-Level Grasping via Visual Labeling and Language Models,Huimin Sun; Yilin Zhang; Pengju Wang; Kenji Hashimoto,2025,17-19 Oct. 2025,2025 IEEE International Conference on Cyborg and Bionic Systems (CBS),Conferences,IEEE,"Robotic systems often encounter difficulties in distinguishing between instances of the same category when instructed via natural language, particularly under attribute-based constraints such as size, color, or spatial position. In this paper, we propose a novel framework that integrates open-vocabulary instance segmentation with language-driven reasoning to accurately identify the object referenced by attribute-rich user instructions—for example, “the largest red box” or “the second cup from the left”. Our method first generates multiple candidate object masks from a static RGB image and assigns each instance a unique visual label. These labeled instances, together with the language command, are then processed by a large vision-language model to resolve the correct target. Unlike prior approaches, our framework does not require explicit pretraining for visual-language alignment and demonstrates strong generalization to unseen attribute combinations. We validate the effectiveness of our approach through robotic grasping experiments, which confirm its robustness in cluttered scenes containing multiple visually similar objects.",Robotic grasping; Vision-language models; open-vocabulary segmentation; Human-robot interaction,Instance segmentation; Visualization; Biological system modeling; Natural languages; Grasping; Object segmentation; Cognition; Robustness; Object recognition; Robots,Language Model; Natural Language; Robotic System; Similar Objects; Unique Label; Candidate Objects; Simulation Experiments; Modularity; Point Cloud; Simulation Environment; Ability Of System; Disambiguation; Target Object; Robotic Arm; Real-world Experiments; Robot Manipulator; Relevant Objects; Object Regions; Correct Object; Visual Reasoning; Cluttered Environments; Numerical Labels; Instance Selection; RGB-D Sensor,"Beijing, China",17-19 Oct. 2025,,,25,30,979-8-3315-9743-6,,LOCKED,0,0,63,https://ieeexplore.ieee.org/document/11267599/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11267599,https://ieeexplore.ieee.org/document/11267599/
11267604,10.1109/CBS65871.2025.11267604,A Modular Vision-Language-Action Framework for Autonomous Pressure Ulcer Care,Tianze Wang; An Wang; Yan Ma; Jiewen Lai; Jiankun Wang; Hongliang Ren,2025,17-19 Oct. 2025,2025 IEEE International Conference on Cyborg and Bionic Systems (CBS),Conferences,IEEE,"Pressure ulcers represent a significant healthcare challenge with high prevalence rates and substantial caregiver burden. This paper introduces an autonomous robotic system for pressure ulcer care that operates through a novel hierarchical Vision-Language-Action (VLA) architecture. Unlike end-to-end approaches, our modular three-component design enhances interpretability and adaptability while reducing dependence on large domain-specific datasets. The system integrates an RGB-D camera for spatial perception, Qwen3 language model for instruction interpretation, and a ROS-controlled DENSO Cobotta robotic arm for precise interventions. Through in-context learning techniques, our approach effectively overcomes domain knowledge limitations in both vision and language components. Laboratory experiments with medical mannequins demonstrate the system achieves an 87.51% success rate across diverse tasks, including joint movement, object manipulation, and simulated wound irrigation. Comparative analysis reveals clear performance improvements through in-context learning, with success rates increasing from near-zero to over 85% for complex tasks. As the first implementation of a VLA-driven robotic system for wound care, this research addresses the critical gap between surgical robotics and nursing assistance, potentially enhancing treatment consistency while reducing healthcare worker workload in clinical settings.",,,,"Beijing, China",17-19 Oct. 2025,,,491,496,979-8-3315-9743-6,,LOCKED,0,0,101,https://ieeexplore.ieee.org/document/11267604/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11267604,https://ieeexplore.ieee.org/document/11267604/
11267731,10.1109/CBS65871.2025.11267731,Mindeye-Omniassist: A Gaze-Driven LLM-Enhanced Assistive Robot System for Implicit Intention Recognition and Task Execution,Zejia Zhang; Bo Yang; Xinxing Chen; Weizhuang Shi; Haoyuan Wang; Wei Luo; Jian Huang,2025,17-19 Oct. 2025,2025 IEEE International Conference on Cyborg and Bionic Systems (CBS),Conferences,IEEE,"A promising effective human-robot interaction in assistive robotic systems is gaze-based control. However, current gaze-based assistive systems mainly help users with basic grasping actions, offering limited support. Moreover, the restricted intent recognition capability constrains the assistive system's ability to provide diverse assistance functions. In this paper, we propose an open implicit intention recognition framework powered by Large Language Model (LLM) and Vision Foundation Model (VFM), which can process gaze input and recognize user intents that are not confined to predefined or specific scenarios. Furthermore, we implement a gaze-driven LLM-enhanced assistive robot system (MindEye-OmniAssist) that recognizes user's intentions through gaze and assists in completing task. To achieve this, the system utilizes open vocabulary object detector, intention recognition network and LLM to infer their full intentions. By integrating eye movement feedback and LLM, it generates action sequences to assist the user in completing tasks. Real-world experiments have been conducted for assistive tasks, and the system achieved an overall success rate of $41 / 55$ across various undefined tasks. Preliminary results show that the proposed method holds the potential to provide a more user-friendly humancomputer interaction interface and significantly enhance the versatility and effectiveness of assistive systems by supporting more complex and diverse task.",,,,"Beijing, China",17-19 Oct. 2025,,,1,6,979-8-3315-9743-6,,LOCKED,4,0,151,https://ieeexplore.ieee.org/document/11267731/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11267731,https://ieeexplore.ieee.org/document/11267731/
11271474,10.1109/ACCESS.2025.3638804,Enhancing Algorithm Comprehension for Visually Impaired Individuals With LLM-Based Programming Code Segmentation,Naoki Takamatsu; Eiji Kamioka; Chanh Minh Tran; Phan Xuan Tan,2025,2025,IEEE Access,Journals,IEEE,"The concept of inclusive education increasingly focuses on providing appropriate support for diverse learners, including visually impaired individuals (VIs) who encounter notable difficulties in programming education. Unlike sighted learners who can visually grasp code structure at a glance, VIs depend on screen readers that present code linearly, hindering their ability to comprehend program flow and increasing cognitive load. This study proposes a method that leverages Large Language Model (LLM) to automatically segment the source code into semantically coherent sections along with their corresponding explanatory descriptions. These descriptions are embedded in a screen-reader-compatible block-based programming interface, designed to enhance non-visual code comprehension by providing structured, high-level guidance. An experimental study was conducted with 20 sighted participants blindfolded to simulate non-visual interaction. Participants completed programming tasks using two systems: one with LLM-generated segmentation and one without. The results demonstrate that the segmented system significantly improved task success rates and reduced completion times by over 50% in the most complex task. Additionally, subjective evaluations indicated enhanced usability and comprehension. These findings highlight the potential of LLM-based code segmentation to improve programming accessibility for VIs. Future work includes testing on complex codebases, adding contextual aids, enhancing segmentation flexibility, and conducting broader longitudinal evaluations.",Assistive technologies; code segmentation; cognitive load; human–computer interaction; inclusive education; large language models; non-visual interfaces; programming education; program comprehension; software accessibility; visual impairments,Codes; Programming profession; Syntactics; Education; Cognitive load; Programming environments; Navigation; Logic; Complexity theory; Semantics,Visually Impaired Individuals; Semantic; Cognitive Load; Cognitive Demands; Mental Workload; Mental Effort; Completion Time; Subjective Evaluation; Application Programming Interface; Programming Interface; Coding Structure; Blindfolded; Broader Evaluation; Broad Evaluation; Programming Tasks; Syntactic; Syntax; Natural Language; Assistive Technology; Assistive Devices; Flow Control; Problem Statement; Segmentation Method; Programming Environment; Program Structure; Task Accuracy; Task Completion Time; Program Logic; Natural Language Descriptions; Average Completion Time; Access Program; Availability Of Programs; Real-world Programs; Code Blocks; Auditory Presentation; Efficient Navigation; Auditory Cues,,,13,,204040,204057,,2169-3536,CCBY - IEEE is not the copyright holder of this material. Please follow the instructions via https://creativecommons.org/licenses/by/4.0/ to obtain full-text articles and stipulations in the API documentation.,1,0,526,https://ieeexplore.ieee.org/document/11271474/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11271474,https://ieeexplore.ieee.org/document/11271474/
11276983,10.1109/IAI68403.2025.11276983,Language-Guided Target Grasping in Cluttered Scenes via Multi-Modal Information Fusion,Yafei Zheng; Yuzhe Li; Yujie Chen,2025,21-24 Aug. 2025,2025 7th International Conference on Industrial Artificial Intelligence (IAI),Conferences,IEEE,"Achieving precise target grasping in complex and crowded scenes through language instructions is crucial. Existing methods often combine vision-language models and grasp pose estimation models in a straightforward manner to identify and grasp target objects. However, in cluttered environments, traditional approaches struggle to effectively isolate the target from surrounding obstacles due to occlusions. To address the challenge of language-guided target grasping in cluttered scenes, we propose a multi-modal information fusion-based grasping algorithm. This algorithm enhances the understanding of complex instructions and improves grasping success rates by intelligently understanding language commands, identifying target objects, and learning grasping strategies.First, leveraging a large vision-language model (L VLM) and a grasp pose estimation model, our system processes language instructions and scene images to generate preliminary segmentation masks and grasp poses, determining optimal grasping configurations while considering surrounding obstacles. Second, to improve grasping success rates, we introduce a cross-attention mechanism to fuse language features, visual features and grasp pose features, enabling more comprehensive and accurate information understanding and task decision-making. The grasping policy is optimized using deep reinforcement learning with the Soft Actor-Critic (SAC) algorithm. To validate the effectiveness of the proposed framework, we conducted experiments in a cluttered scene constructed on the PyBullet simulation platform. The results demonstrate a task success rate of 87.3 % and an average of 2.95 actions per task, significantly outperforming traditional methods. Additionally, ablation studies further verify the impact of the reward mechanism on system performance, providing strong evidence for the framework's efficiency and reliability.",language-guided target grasping; multi-modal information fusion; reinforcement learning; cluttered scenes,Visualization; Image segmentation; System performance; Pose estimation; Decision making; Grasping; Deep reinforcement learning; Object recognition; Reliability; Artificial intelligence,Multimodal Information; Cluttered Scenes; Multimodal Information Fusion; Visual Features; Visual Characteristics; Language Teaching; Language Of Instruction; Language Education; Target Object; Scene Images; Accurate Understanding; Deep Reinforcement Learning; Reward Mechanism; Understanding Of Instructions; Actor-critic Algorithm; Crowded Scenes; Natural Language; Workspace; Bounding Box; Robotic Arm; Reward Function; Isolation Rate; Complex Language; L Complex; Objects In The Scene; Position Embedding; Target Acquisition; Object Labels; Object Boxes; Simple Instructions; Object Bounding Boxes; Text Encoder,"Shenyang, China",21-24 Aug. 2025,,,1,6,979-8-3315-8930-1,,LOCKED,0,0,49,https://ieeexplore.ieee.org/document/11276983/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11276983,https://ieeexplore.ieee.org/document/11276983/
11277090,10.1109/IAI68403.2025.11277090,"Transferring Vision-Language-Action Models to Industry Applications: Architectures, Performance, and Challenges",Shuai Li; Yizhe Chen; Dong Li; Sichao Liu; Dapeng Lan; Yu Liu; Zhibo Pang,2025,21-24 Aug. 2025,2025 7th International Conference on Industrial Artificial Intelligence (IAI),Conferences,IEEE,"The application of artificial intelligence (AI) in industry is accelerating the shift from traditional automation to intelligent systems with perception and cognition. Vision-language-action (VLA) models have been a key paradigm in AI to unify perception, reasoning, and control. Has the performance of the VLA models met the industrial requirements? In this paper, from the perspective of industrial deployment, we compare the performance of existing state-of-the-art VLA models in industrial scenarios and analyze the limitations of VLA models for real-world industrial deployment from the perspectives of data collection and model architecture. The results show that Pi0, after fine-tuning, achieves approximately 60% success rate on simple grasping tasks, while the positional error in high-precision placing tasks reaches up to 2.2 cm and $12.4^\circ$. There is much room for performance improvement in complex industrial environments, diverse object categories, and high-precision placing tasks. Our findings provide practical insight into the adaptability of VLA models for industrial use and highlight the need for task-specific enhancements to improve their robustness, generalization, and precision.",Vision-Language-Action; VLA; Industrial Artificial Intelligence,Adaptation models; Analytical models; Accuracy; Computational modeling; Computer architecture; Data models; Robustness; Real-time systems; Cognition; Standards,Adaptive Model; Industrial Environment; Environmental Industry; Artificial Intelligence Applications; Diverse Categories; Variety Of Categories; Industrial Requirements; Requirements Of Industry; High Precision; Autoregressive; Visual Representation; Language Teaching; Language Of Instruction; Language Education; Cross-entropy Loss; Diffusion Model; Visual Input; Accurate Control; Language Model; Robotic Arm; Source Model; End-effector; Linear Layer; Tokenized; Industrial Data; Unstructured Environments; Real-time Response; Consideration For Application; Inverse Kinematics; Absolute Control; Language Understanding; Industrial Settings; Generalization Capability; Visuospatial; Visuospatial Attention; Chunk Size,"Shenyang, China",21-24 Aug. 2025,,,1,6,979-8-3315-8930-1,,LOCKED,2,0,196,https://ieeexplore.ieee.org/document/11277090/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11277090,https://ieeexplore.ieee.org/document/11277090/
11282665,10.1109/AICIT65974.2025.11282665,Optimizing College English Teaching Platforms with Large Language Models: Design and Implementation,Ruili Chen,2025,19-21 Sept. 2025,2025 4th International Conference on Artificial Intelligence and Computer Information Technology (AICIT),Conferences,IEEE,"With the rapid evolution of information technology, intelligent education has become an effective means of enhancing teaching quality and effectiveness. As a key component of higher education, college English teaching urgently needs to leverage modern technological initiatives to promote reform and innovation. To address the challenges faced by traditional English teaching, this paper establishes and implements an intelligent college English teaching platform powered by a large language model based on a Transformer architecture. The platform utilizes a three-tiered system architecture, integrating core mechanisms such as semantic understanding and grasping, prompt orchestration and coordination, knowledge graph collaborative question answering, and reinforcement learning path recommendation. Driven by diverse teaching tasks, the platform optimizes and deploys functional modules such as writing correction, oral training, and listening comprehension. System testing and feedback analysis using real-world learning interaction data demonstrate significant advantages in task response efficiency, user satisfaction, and learning outcomes. This research demonstrates the feasibility of large language models in educational settings and provides a reproducible technical approach for the structural design and deployment optimization of intelligent education systems.",large language model; smart teaching; English learning; personalized recommendation; Prompt project,Training; Technological innovation; System testing; Large language models; Education; Systems architecture; Writing; Transformer cores; Transformers; Information technology,Language Model; UK Universities; British University; College English; Educational Platform; Teaching Platform; College English Teachers; University English Teachers; Large Language Models; Learning Task; User Satisfaction; Learning Path; Semantic Understanding; Intelligent Platform; Interactive; Response Time; Learning Rate; Feedback Mechanism; Task Completion; Individual Learning; Personal Learning; Satisfaction Scores; English Learners; Adaptive Learning; Data Layers; Cache Hit; Cache Hit Ratio; Cache Hit Rate; Oral Feedback; Graph Neural Networks; Recommender Systems; Personalized Recommendations; Average Response Time; Student Answers,"Yi Chang, China",19-21 Sept. 2025,,,1,6,979-8-3503-5746-2,,LOCKED,0,0,28,https://ieeexplore.ieee.org/document/11282665/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11282665,https://ieeexplore.ieee.org/document/11282665/
11288173,10.1109/CACS67552.2025.11288173,Incorporating Large Language Models and Vision-Language Models for Semantic Robotic Grasping,Jing-Xian Lai; Huei-Yung Lin,2025,5-8 Nov. 2025,2025 International Automatic Control Conference (CACS),Conferences,IEEE,"With rapid advances of generative AI techniques, large language model (LLM) and vision-language model (VLM) have demonstrated remarkable capabilities in semantic reasoning and perception. Traditional robotic manipulators often rely on predefined trajectories and fixed motion plans, which usually lack generalization and adaptability to the dynamic real-world environments. To address these limitations, this study proposes a semantic-oriented robotic grasping system which incorporates LLMs and VLMs. The system employs GPT-4.1 as the semantic reasoning core, utilizes CLIP and OmDet-Turbo for recognizing objects, and integrates GraspNet for the geometric grasp point prediction, to enable task-aware grasp planning via the fusion of semantic and geometric information. In a complex scene or under ambiguous instructions, the proposed technique performs semantic disambiguation, followed by task parsing to enhance instruction understanding. The experimental results have shown that the proposed system can accurately execute diverse natural language grasping commands, and demonstrate the feasibility of generative AI in robotic manipulation and semantic-driven control. Source code is available at https://github.com/ljingx22/Robotic_Grasping_System.",,,,"Hsinchu, Taiwan",5-8 Nov. 2025,,,1,6,979-8-3315-9641-5,2473-7240,LOCKED,0,0,81,https://ieeexplore.ieee.org/document/11288173/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11288173,https://ieeexplore.ieee.org/document/11288173/
11288199,10.1109/CACS67552.2025.11288199,From Words to Work: LLM-Guided AMR and Manipulator System with Digital Twin Sync,Kai-Hsien Ma; Hsuan-Hao Hsu; Hao-Chun Pan; Chuan-Tsai Lin; Jau-Woei Perng,2025,5-8 Nov. 2025,2025 International Automatic Control Conference (CACS),Conferences,IEEE,"This study presents an integrated system that combines a large language model (LLM) with an autonomous mobile robot (AMR) to enable task planning and real-time scheduling in smart factory environments. By incorporating a virtual environment, the system achieves the effect of a digital twin (DT), thereby enhancing operational monitoring. Through a user-friendly interface, semantic instructions are automatically interpreted into executable task flows for the AMR, leveraging simultaneous localization and mapping (SLAM) and A* based navigation with obstacle avoidance. The system supports both order-driven operations and detection tasks, and enables object grasping through YOLOv9-based object detection for the robotic manipulator, with DT facilitating collaborative operation. Furthermore, the LLM integrates task monitoring and dynamic rescheduling mechanisms to adapt to emergency insertions and workflow changes, demonstrating strong operational flexibility. Experimental results validate the system’s practicality and highlight its potential for deployment in smart manufacturing environments.",Large language model (LLM); autonomous mobile robot (AMR); digital twin (DT); task planning; SLAM; A* algorithm; YOLOv9,Simultaneous localization and mapping; Robot kinematics; Large language models; Real-time systems; Planning; Digital twins; Mobile robots; Monitoring; Manipulator dynamics; Smart manufacturing,Digital Twin; Automated Guided Vehicles; Autonomous Guided Vehicles; Autonomous Mobile Robots; Navigation; Object Detection; Task Execution; Robot Manipulator; Obstacle Avoidance; Obstacle Detection; Simultaneous Localization And Mapping; Task Planning; Smart Manufacturing; Smart Factory; Real-time Scheduling; Natural Language; Physical Space; Functional Dynamics; Dynamic Mapping; Target Object; Path Planning; Motion Planning; Global Map; Robotic Arm; Pose Estimation; Semantic Map; Semantic Function; Camera Frame; Camera Frame Rate; Defect Area; Object Pose; Robot Operating System; Bezier Curve; Cubic Bézier; Bézier Curves; Digital Space; Homogeneous Coordinates; Global Frame; Multi-object Tracking,"Hsinchu, Taiwan",5-8 Nov. 2025,,,1,6,979-8-3315-9641-5,2473-7240,LOCKED,0,0,92,https://ieeexplore.ieee.org/document/11288199/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11288199,https://ieeexplore.ieee.org/document/11288199/
11300266,10.1109/TASE.2025.3644186,GATGrasp: Learning Task-Aware Affordance Grasp for Robotic Tool Usage With Knowledge Graph Attention Mechanism,Xungao Zhong; Zhijie Zou; Junzhi Yu; Chengxian Zhou; Xunyu Zhong; Huosheng Hu,2026,2026,IEEE Transactions on Automation Science and Engineering,Journals,IEEE,"Robotic tool usage still falls short in fine-grained task execution, specifically, learning how to select tools and determine configurations, achieving task compatibility, and enhancing subsequent manipulation remains challenging. Thus, this paper proposes a Graph Attention Grasp (GATGrasp) concept, which is dedicated to establishing a task-aware affordance grasping framework. It integrates a Visual-Language Model (VLM) for tool localization and segmentation across diverse scenes, while employing the GraspNet component to generate 6D candidates. The approach is then devoted to leveraging multimodal semantic and geometric features, learning the spatial relationships between objects and task attributes to address affordance grasp detection. Furthermore, we have also constructed a semantic knowledge graph to encode the mappings of affordance grasping, enabling the designed Graph Attention Network (GAT) to generalize tool usage reasoning for novel tasks under the guidance of semantic information. Evaluations on the TaskGrasp dataset demonstrate that GATGrasp outperforms the established baselines and state-of-the-art methods, while experiments conducted on a real robot further verify the effectiveness of our method in performing task-aware affordance grasps on novel tools. Note to Practitioners—This study is motivated by the demand for task-oriented robotic manipulation, which holds significant importance in household services. By adopting the proposed approach, robots are able to select appropriate grasp poses based on language instructions in unstructured environments to accomplish tool operations. Unlike conventional methods that primarily focus on grasp stability, this work emphasizes the importance of task compliance and semantic reasoning. With the aim of overcoming the challenge of limited generalization in unseen scenarios, we propose the GATGrasp framework, which incorporates semantic knowledge graphs with graph attention networks, enabling robots to combine object affordances with task semantics. Furthermore, a task-aware grasp evaluation module is designed to ensure that grasp candidates are not only stable but also suitable for subsequent task execution. The proposed framework has been validated on both benchmark datasets and real robot platforms, and the results demonstrate significantly improved adaptability to novel objects and tasks.",Task-aware grasping; knowledge graphs; object affordance; graph attention mechanism; tool usage,Affordances; Semantics; Robots; Grasping; Knowledge graphs; Point cloud compression; Cognition; Visualization; Image segmentation; Grippers,Use Of Tools; Attention Mechanism; Multi-head Attention; Graph Attention; Robotic Tools; Graph Attention Mechanism; Semantic Information; Geometric Features; Geometric Characteristics; Task Execution; Semantic Features; Semantic Knowledge; Semantic Cognition; Semantic Concepts; Robot Manipulator; Real Robot; Graph Attention Network; Semantic Graph; Feature Representation; Global Features; Global Characteristics; Global Quality; Point Cloud; Multilayer Perceptron; Real-world Scenarios; Baseline Methods; Object Point Cloud; Semantic Constraints; Set Of Classes; Point Cloud Features; Features Of Point Clouds; Point Cloud Data; Node Embeddings; Graph Convolutional Network; Graph Convolutional Neural Network; Map Tasks; Object Instances; Classification Maps,,,23,,798,810,,1558-3783,LOCKED,0,0,420,https://ieeexplore.ieee.org/document/11300266/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11300266,https://ieeexplore.ieee.org/document/11300266/
11303506,10.1109/VL-HCC65237.2025.00039,TreeReader: A Hierarchical Academic Paper Reader Powered by Language Models,Zijian Zhang; Pan Chen; Fangshi Du; Runlong Ye; Oliver Huang; Michael Liut; Alán Aspuru-Guzik,2025,7-10 Oct. 2025,2025 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),Conferences,IEEE,"Efficiently navigating and understanding academic papers is crucial for scientific progress. Traditional linear formats like PDF and HTML can cause cognitive overload and obscure a paper’s hierarchical structure, making it difficult to locate key information. While LLM-based chatbots offer summarization, they often lack nuanced understanding of specific sections, may produce unreliable information, and typically discard the document’s navigational structure. Drawing insights from a formative study on academic reading practices, we introduce Treereader, a novel language model-augmented paper reader. Treereader decomposes papers into an interactive tree structure where each section is initially represented by an LLM-generated concise summary, with underlying details accessible on demand. This design allows users to quickly grasp core ideas, selectively explore sections of interest, and verify summaries against the source text. A user study was conducted to evaluate Treereader’s impact on reading efficiency and comprehension. Treereader provides a more focused and efficient way to navigate and understand complex academic literature by bridging hierarchical summarization with interactive exploration.",Visual Hierarchy; Intelligent Reading Interfaces; Academic Reading; Skimming; Information Seeking; Human-Computer Interaction,Visualization; Limiting; Navigation; Reviews; Trees (botanical); Portable document format; Cognitive load; Chatbots,Language Model; Academic Papers; Hierarchical Structure; Hierarchical Organization; Cognitive Load; Cognitive Demands; Mental Workload; Mental Effort; User Study; Tree Structure; Scientific Progress; Academic Practice; Source Text; Concise Summary; Reading Efficiency; Academic Reading; Peer Review; Human-computer Interaction; User Interaction; Information Retrieval; Definition Of The Term; Original Text; Summary Information; Child Nodes; Children Nodes; Design Goals; Deep Reading; NASA Task Load Index; Paper Reads,"Raleigh, NC, USA",7-10 Oct. 2025,,,286,292,979-8-3315-0234-8,1943-6092,LOCKED,0,0,93,https://ieeexplore.ieee.org/document/11303506/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11303506,https://ieeexplore.ieee.org/document/11303506/
11317789,10.1109/MRA.2025.3642669,Large-Language-Model-Aided Assistive Robot for Single-Operator Bimanual Teleoperation: Introduction and Validation of a Flexible Assistance System,Haolin Fei; Songlin Ma; Guanglong Du; Elmira Yadollahi; Hak-Keung Lam; Angela Faragasso; Allahyar Montazeri; Ziwei Wang,2026,March 2026,IEEE Robotics & Automation Magazine,Magazines,IEEE,"Bimanual teleoperation tasks are highly demanding for human operators, requiring the simultaneous control of two robotic arms while managing complex coordination and cognitive load. Current approaches to this challenge often rely on rigid control schemes or task-specific automations that do not adapt well to dynamic environments or varied operator needs. This article presents a novel large language model (LLM)-aided bimanual teleoperation assistant (BTLA) that helps operators control dual-arm robots through an intuitive voice command interface and variable autonomy. The BTLA system enables a hybrid control paradigm by combining natural language interaction for an assistive robot arm with direct teleoperation of the dominant robotic arm. Our system implements six core manipulation skills with varying autonomy, ranging from direct mirroring to autonomous object manipulation. The BTLA leverages the LLM to interpret natural language commands and select an appropriate assistance mode based on task requirements and operator preferences. Experimental validation on bimanual object manipulation tasks demonstrates that the BTLA system yields a 240.8% increase in success rate over solo teleoperation and a 69.9% increase over dyadic teleoperation, while significantly reducing operator mental workload. In addition, we validate our approach on a physical dual-arm UR3e robot system, achieving a 90% success rate on challenging soft bottle handling and box transportation tasks.",,,,,,33,1,74,84,,1558-223X,LOCKED,0,0,539,https://ieeexplore.ieee.org/document/11317789/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11317789,https://ieeexplore.ieee.org/document/11317789/
